"id","name","state","subSaga"
143,"Gohan","","Fusion Saga"
143,"Buu","Super","Fusion Saga"
144,"Gohan","","Fusion Saga"
144,"Buu","Super","Fusion Saga"
145,"Goku","Super Saiyan 3","Fusion Saga"
145,"Buu","Super","Fusion Saga"
146,"Goku","Super Saiyan 2","Fusion Saga"
146,"Vegeta","Super Saiyan 2","Fusion Saga"
146,"Buu","Super","Fusion Saga"
147,"Goku","Vegito Super Saiyan","Fusion Saga"
147,"Buu","Super","Fusion Saga"
147,"Vegeta","Vegito Super Saiyan","Fusion Saga"
148,"Yamcha","","Fusion Saga"
148,"Olibu","","Fusion Saga"
148,"Other World Warrior","","Fusion Saga"
149,"Goku","Vegito Candy","Fusion Saga"
149,"Buu","Super","Fusion Saga"
149,"Vegeta","Vegito Candy","Fusion Saga"
150,"Goku","Super Saiyan","Fusion Saga"
150,"Gohan","","Fusion Saga"
151,"Vegeta","Super Saiyan","Fusion Saga"
151,"Gotenks","Super Saiyan 3","Fusion Saga"
151,"Piccolo","","Fusion Saga"
152,"Goku","Super Saiyan","Fusion Saga"
152,"Vegeta","Super Saiyan","Fusion Saga"
152,"Buu","Super","Fusion Saga"
153,"Goku","Super Saiyan","Kid Buu Saga"
153,"Vegeta","Super Saiyan","Kid Buu Saga"
153,"Buu","Kid","Kid Buu Saga"
154,"Krillin","","Kid Buu Saga"
154,"Yamcha","","Kid Buu Saga"
155,"Krillin","","Kid Buu Saga"
155,"Yamcha","","Kid Buu Saga"
155,"Pikkon","","Kid Buu Saga"
155,"Olibu","","Kid Buu Saga"
155,"Buu","Kid","Kid Buu Saga"
156,"Goku","Super Saiyan 3","Kid Buu Saga"
156,"Buu","Kid","Kid Buu Saga"
157,"Vegeta","","Kid Buu Saga"
157,"Buu","Kid","Kid Buu Saga"
158,"Goku","Super Saiyan 3","Kid Buu Saga"
158,"Buu","Kid","Kid Buu Saga"
159,"Vegeta","Super Saiyan 2","Kid Buu Saga"
159,"Buu","Kid","Kid Buu Saga"
160,"Mr. Satan","","Kid Buu Saga"
160,"Buu","Kid","Kid Buu Saga"
161,"Good (Majin) Buu","","Kid Buu Saga"
161,"Buu","Kid","Kid Buu Saga"
162,"Vegeta","","Kid Buu Saga"
162,"Buu","Kid","Kid Buu Saga"
163,"Goku","Super Saiyan 2","Kid Buu Saga"
163,"Buu","Kid","Kid Buu Saga"
164,"Goku","","Peaceful World Saga"
164,"Goten","","Peaceful World Saga"
165,"Pan","","Peaceful World Saga"
165,"Wild Tiger","","Peaceful World Saga"
166,"Goku","","Peaceful World Saga"
166,"Uub","","Peaceful World Saga"
167,"Pan","","Peaceful World Saga"
167,"Goten","","Peaceful World Saga"
